Scientific Name,Class,Order,Family,Trend,Status,Life Span (years),Length (cm),Weight (kg),Is Social,Is Nocturnal,Diet,Mating Behavior,Incubation Period (days),Baby Carrying,Independent Age (days),Africa,Antarctica,Asia,Europe,Oceania,South America,Central America,North America,Cold,Dry/Desert,Polar/Tundra,Temperate,Tropical
Neotamias dorsalis,mammalia,rodentia,sciuridae,1,0,12,23.3,0.0675,0,0,2,,28,5,43,0,0,0,0,0,0,0,0,0,0,0,1,0
Tachyoryctes macrocephalus,mammalia,rodentia,spalacidae,0,1,2,23.65,0.545,0,0,2,1,43,1.5,50,1,0,0,0,0,0,0,0,0,0,0,0,1
Cynomys leucurus,mammalia,rodentia,sciuridae,0,0,4,35.7,1.1875,1,0,2,1,30,5,31.5,0,0,0,0,0,0,0,0,0,1,0,1,0
Antechinus swainsonii,mammalia,dasyuromorphia,dasyuridae,,0,2,12.8,0.053,0,0,0,,32.5,7,98,0,0,0,0,1,0,0,0,0,0,0,1,0
Sapajus flavius,mammalia,primates,cebidae,0,1,,37.5,2.5,1,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1
Cercopithecus diana,mammalia,primates,cercopithecidae,0,1,20,47.5,5.5,1,0,0,1,150,1,,1,0,0,0,0,0,0,0,0,0,0,0,1
Macroglossus minimus,mammalia,chiroptera,pteropodidae,1,0,,7.25,0.018,0,1,2,,120,1,65,0,0,1,0,1,0,0,0,0,0,0,0,1
Equus hemionus onager,mammalia,perissodactyla,equidae,1,1,40,200,230,1,0,2,1,366.5,1,730,0,0,1,0,0,0,0,0,0,1,0,1,0
Cephalopachus bancanus,mammalia,primates,tarsiidae,0,1,14.5,13.75,0.128,0,1,0,0,178,1,80,0,0,1,0,0,0,0,0,0,0,0,0,1
Cynomys gunnisoni,mammalia,rodentia,sciuridae,0,0,5.5,33.5,0.5,1,0,2,1,30,4.5,,0,0,0,0,0,0,0,0,0,0,0,1,0
Helogale parvula,mammalia,carnivora,herpestidae,1,0,14,23,0.28,1,0,0,,53,5,70,1,0,0,0,0,0,0,0,0,0,0,0,1
Peromyscus truei,mammalia,rodentia,cricetidae,1,0,,20.1,0.0225,0,1,0,1,33,4.5,24.5,0,0,0,0,0,0,0,0,0,0,0,1,0
Macaca cyclopis,mammalia,primates,cercopithecidae,1,0,,55,8.5,1,0,0,1,150,1,730,0,0,1,0,0,0,0,0,0,0,0,1,0
Hylobates albibarbis,mammalia,primates,hylobatidae,0,1,25,53,6,1,0,2,0,,,,0,0,1,0,0,0,0,0,0,0,0,0,1
Arvicola amphibius,mammalia,rodentia,cricetidae,1,0,17,18,0.3055,1,0,2,1,21,,17.5,0,0,1,1,0,0,0,0,1,0,0,1,0
Alouatta pigra,mammalia,primates,atelidae,0,1,,58,8.5,1,0,2,1,180,1,360,0,0,0,0,0,0,0,0,0,0,0,0,1
Saguinus mystax,mammalia,primates,callitrichidae,0,0,20,61,0.511,1,0,0,1,145,2,,0,0,0,0,0,0,0,0,0,0,0,0,1
Damaliscus pygargus,mammalia,artiodactyla,bovidae,1,0,17,165,102.5,1,0,2,,225,1,,1,0,0,0,0,0,0,0,0,0,0,1,0
Propithecus tattersalli,mammalia,primates,indriidae,0,1,18.5,46,3,1,0,2,,180,1,150,1,0,0,0,0,0,0,0,0,0,0,0,1
Kobus leche,mammalia,artiodactyla,bovidae,0,0,15,,95,1,0,2,,225,1,165,1,0,0,0,0,0,0,0,0,0,0,0,1
Naemorhedus caudatus,mammalia,artiodactyla,bovidae,0,1,16,,27,1,0,2,,255,2,365,0,0,1,0,0,0,0,0,0,0,0,1,0
Trachypithecus pileatus,mammalia,primates,cercopithecidae,0,1,11,64.5,11.5,1,0,2,1,200,1,,0,0,1,0,0,0,0,0,0,0,0,0,1
Fossa fossana,mammalia,carnivora,eupleridae,0,1,21,47,1.5,0,1,1,0,90,1,365,1,0,0,0,0,0,0,0,0,0,0,0,1
Galemys pyrenaicus,mammalia,eulipotyphla,talpidae,0,1,3,12.5,0.0575,0,1,0,0,30,3.5,,0,0,0,1,0,0,0,0,0,0,0,1,0
Spermophilus citellus,mammalia,rodentia,sciuridae,0,1,9,20,0.3,1,0,0,,26,6.5,,0,0,1,1,0,0,0,0,0,0,0,1,0
Brachyteles hypoxanthus,mammalia,primates,atelidae,0,1,30,126,11,1,0,2,1,210,1,730,0,0,0,0,0,0,0,0,0,0,0,0,1
Eulemur albifrons,mammalia,primates,lemuridae,0,1,28,40,2,1,0,0,,120,1,150,1,0,0,0,0,0,0,0,0,0,0,0,1
Raphicerus campestris,mammalia,artiodactyla,bovidae,1,0,8,82.5,11.5,0,1,2,,170,1,90,1,0,0,0,0,0,0,0,0,1,0,0,1
Redunca fulvorufula,mammalia,artiodactyla,bovidae,0,1,14,118,31,1,1,2,1,240,1,,1,0,0,0,0,0,0,0,0,0,0,0,1
Allenopithecus nigroviridis,mammalia,primates,cercopithecidae,,0,23,52.5,4.5,1,0,0,,,1,,1,0,0,0,0,0,0,0,0,0,0,0,1
Pteropus lylei,mammalia,chiroptera,pteropodidae,0,1,,,0.435,1,1,2,,165,1.5,,0,0,1,0,0,0,0,0,0,0,0,0,1
Pelea capreolus,mammalia,artiodactyla,bovidae,0,0,9,,24.5,1,0,2,1,210,1,,1,0,0,0,0,0,0,0,0,1,0,1,0
Tayassu pecari,mammalia,artiodactyla,tayassuidae,0,1,13,114.5,32.5,1,0,0,,159,2.5,180,0,0,0,0,0,0,0,0,0,1,0,0,1
Kobus kob,mammalia,artiodactyla,bovidae,0,0,17,,78.5,1,0,2,,240,1,,1,0,0,0,0,0,0,0,0,0,0,0,1
Epomophorus wahlbergi,mammalia,chiroptera,pteropodidae,1,0,10,18.75,0.0895,1,1,2,,165,1,450,1,0,0,0,0,0,0,0,0,0,0,0,1
Scapanus latimanus,mammalia,eulipotyphla,talpidae,1,0,1.5,16,0.085,0,0,1,,,3.5,,0,0,0,0,0,0,0,0,0,0,0,1,0
Spilogale gracilis,mammalia,carnivora,mephitidae,0,0,10,40,0.4805,0,1,0,,240,3.5,56,0,0,0,0,0,0,0,0,0,0,0,1,0
Antechinus stuartii,mammalia,dasyuromorphia,dasyuridae,1,0,2,11.15,0.03,1,1,1,,30.5,6.5,90,0,0,0,0,1,0,0,0,0,0,0,1,0
Pekania pennanti,mammalia,carnivora,mustelidae,,0,10,97.5,4,0,0,0,,50,2.5,150,0,0,0,0,0,0,0,0,1,0,0,1,0
Lycalopex vetulus,mammalia,carnivora,canidae,,0,,65,3.5,0,1,3,0,50,3,,0,0,0,0,0,0,0,0,0,0,0,0,1
Pseudomys novaehollandiae,mammalia,rodentia,muridae,0,1,1.5,7.75,,1,1,0,,,3.5,24.5,0,0,0,0,1,0,0,0,0,0,0,0,0
Neotragus pygmaeus,mammalia,artiodactyla,bovidae,0,0,6,45,2.5,0,1,2,0,,1,,1,0,0,0,0,0,0,0,0,0,0,0,1
Mesoplodon densirostris,mammalia,artiodactyla,ziphiidae,,0,27,400,900,1,0,1,,,1,,1,0,1,1,1,0,0,0,0,0,0,1,1
Ochotona hyperborea,mammalia,lagomorpha,ochotonidae,1,0,3,15,0.15,1,0,2,1,28,3.5,,0,0,1,1,0,0,0,0,1,0,1,1,0
Callithrix penicillata,mammalia,primates,callitrichidae,0,0,15,20.5,,1,0,2,0,150,,,0,0,0,0,0,0,0,0,0,0,0,0,1
Cercopithecus petaurista,mammalia,primates,cercopithecidae,,0,29,45,4.5,1,0,0,,210,1,,1,0,0,0,0,0,0,0,0,0,0,0,1
Sapajus xanthosternos,mammalia,primates,cebidae,0,1,30,42,3,1,0,0,1,165,1,,0,0,0,0,0,0,0,0,0,0,0,0,1
Callithrix flaviceps,mammalia,primates,callitrichidae,0,1,13,24,0.4145,1,0,2,0,145,2,,0,0,0,0,0,0,0,0,0,0,0,0,1
Neotamias merriami,mammalia,rodentia,sciuridae,1,0,5,13.4,0.074,0,0,2,,32,5.5,30,0,0,0,0,0,0,0,0,0,0,0,1,0
Mesoplodon europaeus,mammalia,artiodactyla,ziphiidae,,0,37.5,450,1,1,0,1,,,1,,1,0,0,1,0,0,0,0,1,0,0,1,1
Avahi laniger,mammalia,primates,indriidae,0,1,10,28,7,1,1,2,0,135,1,365,1,0,0,0,0,0,0,0,0,0,0,0,1
Neotamias sonomae,mammalia,rodentia,sciuridae,1,0,4,24.2,,0,0,0,,32,4,21,0,0,0,0,0,0,0,0,0,0,0,1,0
Saguinus geoffroyi,mammalia,primates,callitrichidae,0,0,,23.25,0.4965,1,0,0,1,145,1.5,98,0,0,0,0,0,0,0,0,0,0,0,0,1
Macaca tonkeana,mammalia,primates,cercopithecidae,0,1,28,58.75,9,1,0,2,,173,1,,0,0,1,0,0,0,0,0,0,0,0,0,1
Ammospermophilus nelsoni,mammalia,rodentia,sciuridae,0,1,6,24.85,0.1605,1,0,0,1,26,8.5,30,0,0,0,0,0,0,0,0,0,1,0,1,0
Bubalus quarlesi,mammalia,artiodactyla,bovidae,0,1,25,137.5,225,0,0,2,,295,1,,0,0,1,0,0,0,0,0,0,0,0,0,1
Balaenoptera acutorostrata,mammalia,artiodactyla,balaenopteridae,1,0,47.5,,8000,0,0,1,1,300,1,,1,1,1,1,1,0,0,0,1,0,1,0,1
Mephitis macroura,mammalia,carnivora,mephitidae,2,0,3,67.4,1,0,1,0,,60,5.5,,0,0,0,0,0,0,0,0,0,0,0,1,1
Graphiurus murinus,mammalia,rodentia,gliridae,1,0,5.5,11.75,0.0285,0,1,0,1,24,3.5,35,1,0,0,0,0,0,0,0,0,0,0,0,1
