Scientific Name,Class,Order,Family,Trend,Status,Life Span (years),Length (cm),Weight (kg),Is Social,Is Nocturnal,Diet,Mating Behavior,Incubation Period (days),Baby Carrying,Independent Age (days),Africa,Antarctica,Asia,Europe,Oceania,South America,Central America,North America,Cold,Dry/Desert,Polar/Tundra,Temperate,Tropical
Testudo graeca,2,57,testudinidae,1,1,162.5,16.5,1.0,0,0,2,1,62.5,4.0,196.80432558196833,1,0,1,1,0,0,0,0,1,1,0,1,0
Chelydra serpentina,2,57,chelydridae,1,0,35.0,36.0,10.0,0,0,4,1,94.5,52.5,196.80432558196833,0,0,0,0,0,0,0,0,0,0,0,1,0
Eublepharis macularius,2,53,eublepharidae,1,0,20.0,23.0,0.065,0,0,3,1,52.5,2.0,9.714285714285714,0,0,1,0,0,0,0,0,0,1,0,0,1
Gavialis gangeticus,2,16,gavialidae,0,1,29.0,350.0,204.5,0,0,1,1,70.0,44.0,465.8333333333333,0,0,1,0,0,0,0,0,0,1,0,1,1
Varanus salvator,2,53,varanidae,1,0,18.0,150.0,34.5,0,0,0,1,195.0,25.0,9.714285714285714,0,0,1,0,0,0,0,0,0,0,0,0,1
Anolis sagrei,2,53,dactyloidae,1,0,6.5,13.5,0.0055,1,0,0,1,49.0,1.5,9.714285714285714,0,0,0,0,0,0,0,0,0,0,0,1,1
Alligator sinensis,2,16,alligatoridae,1,1,60.0,150.0,40.0,0,1,1,1,70.0,25.0,465.8333333333333,0,0,1,0,0,0,0,0,0,0,0,1,0
Eretmochelys imbricata,2,57,cheloniidae,0,1,40.0,80.0,58.0,0,0,0,0,105.84285714285714,120.0,196.80432558196833,1,1,1,0,1,0,0,0,0,0,0,0,1
Chelonoidis nigra,2,57,testudinidae,1,1,135.0,100.0,198.0,1,0,2,1,150.0,9.0,196.80432558196833,1,1,1,1,1,1,1,1,0,0,0,1,1
Astrochelys radiata,2,57,testudinidae,0,1,70.0,41.0,16.0,0,0,2,1,188.0,7.5,196.80432558196833,1,0,0,0,0,0,0,0,0,1,0,0,0
Crocodylus johnsoni,2,16,crocodylidae,1,0,50.0,250.0,67.5,1,1,1,1,80.0,16.5,465.8333333333333,0,0,0,0,1,0,0,0,0,1,0,0,1
Bothriechis schlegelii,2,53,viperidae,1,0,15.0,68.5,0.225,0,1,1,1,180.0,11.0,9.714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,1
Crocodylus palustris,2,16,crocodylidae,1,1,30.0,450.0,450.0,1,1,1,1,65.0,29.0,365.0,0,0,1,0,0,0,0,0,0,1,0,1,1
Ouroborus cataphractus,2,53,cordylidae,1,0,22.5,8.0,7.013792857142858,1,0,0,1,210.0,1.5,9.714285714285714,1,0,0,0,0,0,0,0,0,0,0,0,1
Aldabrachelys gigantea,2,57,testudinidae,1,1,138.0,106.0,200.0,1,0,2,1,180.0,14.5,196.80432558196833,1,0,0,0,0,0,0,0,0,1,0,0,1
Lampropeltis getula,2,53,colubridae,1,0,25.0,120.0,0.1435,0,1,1,1,60.0,12.0,9.714285714285714,0,0,0,0,0,0,0,0,0,1,0,1,1
Nerodia rhombifer,2,53,colubridae,1,0,10.0,99.0,7.013792857142858,0,0,1,1,105.11304347826086,37.5,9.714285714285714,0,0,0,0,0,0,0,0,0,0,0,1,0
Plestiodon fasciatus,2,53,scincidae,1,0,6.0,16.5,7.013792857142858,0,0,0,1,39.5,16.5,9.714285714285714,0,0,0,0,0,0,0,0,0,0,0,1,0
Osteolaemus tetraspis,2,16,crocodylidae,1,1,57.5,100.0,25.0,0,1,1,1,90.0,20.0,465.8333333333333,1,0,0,0,0,0,0,0,0,0,0,0,1
