Scientific Name,Class,Order,Family,Trend,Status,Life Span (years),Length (cm),Weight (kg),Is Social,Is Nocturnal,Diet,Mating Behavior,Incubation Period (days),Baby Carrying,Independent Age (days),Africa,Antarctica,Asia,Europe,Oceania,South America,Central America,North America,Cold,Dry/Desert,Polar/Tundra,Temperate,Tropical
Buteo platypterus,aves,accipitriformes,accipitridae,2.0,0.0,15.0,38.0,0.4125,0,0,1.0,0.0,28.0,2.5,38.5,0,0,0,0,0,0,0,0,0,0,0,1,1
Selasphorus calliope,aves,apodiformes,trochilidae,1.0,0.0,8.0,8.5,0.0025,0,0,2.0,1.0,15.5,2.0,20.0,0,0,0,0,0,0,0,0,0,0,0,1,1
Mycteria leucocephala,aves,ciconiiformes,ciconiidae,0.0,0.0,28.0,,2.5,1,0,1.0,0.0,30.0,3.0,60.0,0,0,1,0,0,0,0,0,0,0,0,0,1
Geococcyx californianus,aves,cuculiformes,cuculidae,1.0,0.0,7.5,57.0,0.3795,1,0,1.0,0.0,20.0,4.5,53.0,0,0,0,0,0,0,0,0,0,0,0,1,1
Archilochus alexandri,aves,apodiformes,trochilidae,2.0,0.0,10.5,8.5,0.003,0,0,2.0,1.0,14.0,2.0,21.0,0,0,0,0,0,0,0,0,0,0,0,1,1
Somateria fischeri,aves,anseriformes,anatidae,0.0,0.0,8.0,54.0,1.0,1,0,0.0,0.0,24.0,4.5,53.0,0,0,1,0,0,0,0,0,1,0,1,0,0
Leipoa ocellata,aves,galliformes,megapodiidae,0.0,1.0,25.0,58.0,1.5,0,0,0.0,0.0,75.0,16.0,,0,0,0,0,1,0,0,0,0,0,0,1,1
Nestor notabilis,aves,psittaciformes,nestoridae,0.0,1.0,32.0,48.0,0.9,1,0,4.0,0.0,25.5,3.5,126.0,0,0,0,0,1,0,0,0,0,0,0,1,0
Apteryx rowi,aves,apterygiformes,apterygidae,2.0,1.0,41.0,,1.5,0,1,1.0,0.0,77.5,1.0,31.5,0,0,0,0,1,0,0,0,0,0,0,1,0
Momotus coeruliceps,aves,coraciiformes,momotidae,0.0,0.0,20.0,40.5,0.126,1,0,0.0,0.0,17.5,3.5,30.0,0,0,0,0,0,0,0,0,0,0,0,0,1
